code, display
701, Substance Abuse Program
901, Female Pelvic Medicine
1001, Allergy And Immunology
1101, Hospital
1701, Substance Abuse Program
1801, Substance Abuse Program
2001, Anesthesiology
2002, Anesthesiology
3001, Colon And Rectal Surgery
3201, Infusion Services
3301, Sleep Medicine
4001, Dermatology
4002, Dermatology
4101, Pathology
5001, Family Medicine
5002, Family Medicine
5501, Pediatrics
5601, Pediatrics
5701, Pediatrics
5801, Pediatrics
5901, Pediatrics
6001, Internal Medicine
6002, Internal Medicine
6101, Pediatrics
6201, Cardiology
6301, Endocrinology
6401, Gastroenterology
6501, Hematology/Oncology
6601, Infectious Disease
6701, Nephrology
6801, Pulmonary Diseases
6901, Rheumatology
7001, Neurosurgery
7101, Spinal Cord Injury Medicine
7201, Pediatrics
7301, Pediatrics
7401, Toxicology
7501, Undersea and Hyperbaric Medicine
7601, Pediatrics
8001, Nuclear Medicine
8301, Neurology
8401, Radiology Center
8501, Neurology
8901, Obstetrics & Gynecology
8902, Midwifery
8903, Obstetrics & Gynecology
8904, Female Pelvic Medicine
9201, Maternal Services
9301, Maternal Services
9302, Maternal Services
9501, Nutrition
10001, Ophthalmology
10002, Ophthalmology
10003, Ophthalmology
10004, Ophthalmology
10101, Pediatrics
11001, Orthopedic Surgery
11101, Hand Surgery
11201, Hand Surgery
11301, Hand Surgery
11401, Plastic Surgery
12001, Ear; Nose; & Throat (ENT)/Otolaryngology
12101, Pediatrics
13101, Blood Banking
13501, Pathology
13601, Pathology
13701, Hematology/Oncology
13801, Pathology
13901, Microbiology
14001, Pathology
14101, Pathology
14201, Pathology
14301, Pathology
14401, Hepatology
14402, Hepatology
14601, Pathology
14701, Pediatrics
14901, Pediatrics
15001, Pediatrics
15002, Pediatrics
15101, Pediatrics
15201, Pediatrics
15202, Pediatrics
15301, Pediatrics
15401, Pediatrics
15501, Maternal Services
15503, Maternal Services
15601, Pediatrics
15701, Pediatrics
16001, Physical Medicine And Rehabilitation
16101, Pediatrics
