code, display
59576-9, Body mass index (BMI) [Percentile] Per age and sex
8289-1, Head Occipital-frontal circumference Percentile
77606-2, Weight-for-length Per age and sex
59408-5, Oxygen saturation in Arterial blood by Pulse oximetry
3150-0, Inhaled oxygen concentration
3151-8, Inhaled oxygen flow rate
85353-1, Vital signs, weight, height, head circumference, oxygen saturation and BMI panel
9279-1, Respiratory rate
8867-4, Heart rate
2708-6, Oxygen saturation in Arterial blood
8310-5, Body temperature
8302-2, Body height
9843-4, Head Occipital-frontal circumference
29463-7, Body weight
39156-5, Body mass index (BMI) [Ratio]
85354-9, Blood pressure panel with all children optional
8480-6, Systolic blood pressure
8462-4, Diastolic blood pressure
8478-0, Mean blood pressure
